Product Name,Price (Rs.),Rating,Reviews,Product Link
"Poco X8 Pro 5G + 4G LTE | 8+256 GB | 6.95"" CrystalRes AMOLED Display | 50MP main camera | Flagship Dimensity 8500 | 6500mAh (typ) battery with 100W Hy",63999.0,,0,
LAVA HERO 2025,1249.0,4.0,1,
Tecno Spark GO 3,18999.0,,0,
SPARK GO 3  kn3  4+128GB,19999.0,,0,
"HONOR X5c | 8*GB RAM, 64GB Storage | 5260mAh Battery Capacity",20499.0,5.0,1,
HTC wildfire E7 | 6+6GB RAM | 256GB Memory | 50MP Main Camera | 4920mAh Battery | 6.67inch HD+ Display,19999.0,,0,
"Bontel EXPLORER 500 Basic Mobile Phone 1500mAh Big Battery Dual Sim, Flashlight MP3, MP4, FM, Bontel Mobile",2399.0,5.0,1,
Bonfly Boom 5000 Type-C Keypad Mobile Phone,2499.0,,0,
Apple iPhone 17 | 6.3″ Super Retina XDR Always-On Display | A19 chip | 48MP Dual Fusion camera system,163499.0,,0,
"Tecno Spark GO 3 (Ink Black, 4GB+64GB",18999.0,,0,
Honor X7A (6GB/128GB),22990.0,5.0,2,
"No-kia 105 Classic | Single SIM Keypad Phone with Built- in UPI Payments, Long-Lasting Battery, Wireless FM Radio, Charger in-Box",2199.0,2.0,2,
Tecno Spark 50 6/128,26999.0,,0,
Tecno Spark GO 3 4/128,19999.0,,0,
"Infinix Note 60  (8GB/128GB), 6.78 inch, 144Hz AMOLED, Mediatek Dimensity 7400 Ultimate, 50 MP Dual Camera, 6150-6500 mAh Battery",45999.0,,0,
MEIZU SILVER m3 max smart phone 4 g network 4 gb ram 64 gb rom,10200.0,,0,
Infinix Note 60 Pro 5G 12GB 256GB 6.78 Inch 144Hz AMOLED Snapdragon 7s Gen 4 50MP Dual Camera 6500mAh Battery 90W Fast Charging,66999.0,,0,
"Realme C30 (3GB/32GB) | 6.5"" IPS LCD Display | UFS 2.2 Storage | 5000mAh Battery",14499.0,,0,
"vivo Y05 (4GB RAM /64GB ROM/ 128GB ROM) - 6.59"" 120Hz Display - 6500mAh Massive Battery - 1 Year Warranty",21999.0,,0,
COOLPAD COOL10A 3 gb ram 64 gb rom,17000.0,,0,
ZTE BLADE L5 PLUS,4999.0,,0,
"HONOR X8d | 8 GB RAM, 128/256 GB Storage | 2m Drop-resistant | IP 65 Water-Resistance | 7000 mAH Battery | 108 MP AI Camera",39999.0,,0,
"HONOR X5c Plus | 8*GB RAM, 128GB Storage | 5260mAh Battery Capacity",22499.0,,0,
Spark Go 3,19999.0,,0,
